Category Name,Camera Name,View ID,X,Y,Z,heading,pitch,TrackIR Enabled,Smooth Transition,HeadShake,RetainMouseLookPosition, Enable Temporary Positioning,Enable Linear Transition,Linear Transition Frames,Enable Auto Advance,Limit TrackIR, Max TrackIR X,Max TrackIR Y,Max TrackIR Z,Min TrackIR X,Min TrackIR Y,Min TrackIR Z,Zoom,FOV,Enable FOV,Smooth Camera Joins, Enable Track Heading, Enable Track Pitch, CGY Offset, CGZ Offset, Enable Level Camera, Enable View Axis, Enable External Camera, Enable Cineflex Camera, Enable Free Camera, Initial Movement Range, Enable Bezier Transition, Run Code,Transition Seconds,Hidden Camera,X-Camera Version,Default FOV,Aircraft,Author,Camera File Version,Category Index,Manual Enable, Latitude,Longitude, Elevation, X-Plane 9 Chase View, roll, Target Following Camera, Scenic Flyer GA Panel, Scenic Flyer Glass Panel, Cinema Verite, CGX Offset, Hide Yoke, Enable Camera Axis, Enable XPRealistic, Enable RealView, Disable 3D Cockpit Zoom, AGL Camera, Height ABove AGL (Meters),Circle View, Transition Delay, Script ID, Camera Origin,Target Reciprocal 
Cockpit,Pilot View,11,-0.332349,0.916449,-0.618660,0.312500,359.178467,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,0.000000,0.437303,-0.843881,-0.546797,0.340253,-1.669999,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,PFD,5,-0.370578,0.768402,-0.939763,2.531250,358.000000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Autopilot - Radios,6,0.114732,0.727584,-0.910392,0.000000,0.000000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Throttles,3,-0.040943,0.794447,-0.963850,0.937488,303.500092,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Autopilot - Control Panel,1,-0.025268,0.514214,-0.923187,0.000000,266.000000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Left Panel Switches,2,-0.375578,0.495902,-0.959763,0.000000,0.000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Right Pianel Switches,4,0.337232,0.542582,-0.955392,0.000000,0.000000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0.514224,0.476983,-0.721984,-0.270000,0.209482,-1.669999,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Copilot,7,0.312232,0.923052,-0.438449,307.687500,20.000000,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,0.514224,0.476983,-0.721984,-0.270000,0.209482,-1.669999,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Right Cockpit Window,0,0.344873,0.911284,-0.553792,37.312508,0.000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
Cockpit,Left Window,0,-0.363101,0.920273,-0.545379,318.562469,357.833038,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,70.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0.000000,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,19901,0.0,FALSE,2.4.2,80.000000,C90B, ,2020-10-20 09:26:54 ,0,FALSE,0,0,0,FALSE,0.000000,FALSE,FALSE,FALSE,FALSE,0.000000,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.000000,FALSE,0.0,0,0,FALSE
